"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the product","I get all categories from application","SUCCESS","2022-06-20T13:22:57.156+01:00[Europe/London]","0.0","0.11"
"Testing different request on the product","I create categories from application","SUCCESS","2022-06-20T13:22:57.293+01:00[Europe/London]","0.0","0.09"
"Testing different request on the product","I update categories from application","SUCCESS","2022-06-20T13:22:57.422+01:00[Europe/London]","0.0","0.1"
"Testing different request on the product","I delete categories from application","SUCCESS","2022-06-20T13:22:57.581+01:00[Europe/London]","0.0","0.24"
"Testing different request on the product","I get all products from application","SUCCESS","2022-06-20T13:22:57.867+01:00[Europe/London]","0.0","0.38"
"Testing different request on the product","I create product from application","SUCCESS","2022-06-20T13:22:58.256+01:00[Europe/London]","0.0","0.04"
"Testing different request on the product","I update product from application","SUCCESS","2022-06-20T13:22:58.311+01:00[Europe/London]","0.0","0.05"
"Testing different request on the product","I delete product from application","SUCCESS","2022-06-20T13:22:58.395+01:00[Europe/London]","0.0","0.04"
"Testing different request on the service","I get all services from application","SUCCESS","2022-06-20T13:22:58.459+01:00[Europe/London]","0.0","0.03"
"Testing different request on the service","I create service from application","SUCCESS","2022-06-20T13:22:58.529+01:00[Europe/London]","0.0","0.07"
"Testing different request on the service","I update service from application","SUCCESS","2022-06-20T13:22:58.654+01:00[Europe/London]","0.0","0.08"
"Testing different request on the service","I delete service from application","SUCCESS","2022-06-20T13:22:58.776+01:00[Europe/London]","0.0","0.07"
"Testing different request on the store","I get all stores from application","SUCCESS","2022-06-20T13:22:58.912+01:00[Europe/London]","0.0","0.06"
"Testing different request on the store","I create store from application","SUCCESS","2022-06-20T13:22:59.055+01:00[Europe/London]","0.0","0.07"
"Testing different request on the store","I update store from application","SUCCESS","2022-06-20T13:22:59.198+01:00[Europe/London]","0.0","0.12"
"Testing different request on the store","I delete store from application","SUCCESS","2022-06-20T13:22:59.446+01:00[Europe/London]","0.0","0.09"
"Testing different request on the store","I verify following data response","FAILURE","2022-06-20T13:22:59.621+01:00[Europe/London]","0.0","0.12"
"Testing different request on the utility","I get  heathCheck of application","SUCCESS","2022-06-20T13:22:59.811+01:00[Europe/London]","0.0","0.06"
"Testing different request on the utility","I get version of application","SUCCESS","2022-06-20T13:22:59.943+01:00[Europe/London]","0.0","0.02"
